transaction_id,customer_id,amount,currency,payment_method,timestamp,status,failure_reason,failure_category,previous_attempts,customer_success_rate,customer_tenure_days,subscription_status,invoice_age_days,previous_payment_count,previous_successful_payment_count,previous_failed_payment_count,latent_recovery_prob,recovery_outcome,recovered_amount
TXN-10033,CUST-1079,2439.54,INR,DEBIT_CARD,2026-08-13T00:58:55,FAILED,GATEWAY_TIMEOUT,TEMPORARY,1,0.9091,445,INACTIVE,2,11,10,1,0.9199,1,2439.54
TXN-10034,CUST-1237,4525.05,INR,NACH_EMANDATE,2026-08-05T13:47:36,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.8571,348,ACTIVE,0,21,18,3,0.6437,0,0.0
TXN-10035,CUST-3997,309.3,INR,UPI,2026-08-07T12:31:17,FAILED,EXPIRED_CARD_PERMANENT,PERMANENT,0,0.7778,203,NONE,0,18,14,4,0.1116,0,0.0
TXN-10036,CUST-1525,6369.25,INR,NACH_EMANDATE,2026-08-14T06:48:48,FAILED,UNHANDLED_ERROR_CODE,UNKNOWN,0,0.9091,358,ACTIVE,4,11,10,1,0.4443,1,6369.25
TXN-10037,CUST-3161,9361.4,INR,CREDIT_CARD,2026-08-11T04:21:28,FAILED,UNHANDLED_ERROR_CODE,UNKNOWN,1,0.6,1169,NONE,0,10,6,4,0.2402,0,0.0
TXN-10038,CUST-3920,6487.72,INR,NET_BANKING,2026-08-19T13:03:59,FAILED,BANK_SERVER_DOWN,TEMPORARY,2,0.875,877,NONE,0,8,7,1,0.6014,0,0.0
TXN-10039,CUST-2794,1447.02,INR,UPI,2026-08-12T07:47:28,FAILED,EXPIRED_CARD_PERMANENT,PERMANENT,1,0.8182,105,ACTIVE,9,11,9,2,0.0704,0,0.0
TXN-10040,CUST-1262,7899.56,INR,UPI,2026-08-28T07:21:55,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.7333,881,NONE,0,15,11,4,0.6859,0,0.0
TXN-10041,CUST-1942,1118.62,INR,UPI,2026-08-04T06:35:34,FAILED,BLOCKED_CARD,PERMANENT,3,0.7059,990,ACTIVE,0,17,12,5,0.01,0,0.0
TXN-10042,CUST-1937,6061.65,INR,UPI,2026-08-04T20:33:17,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,0.7778,984,INACTIVE,9,18,14,4,0.98,1,6061.65
TXN-10043,CUST-3105,370.33,INR,DEBIT_CARD,2026-08-24T23:32:55,FAILED,NETWORK_INTERRUPT,TEMPORARY,1,1.0,205,NONE,0,9,9,0,0.9489,1,370.33
TXN-10044,CUST-1877,3179.95,INR,NACH_EMANDATE,2026-08-24T08:42:05,FAILED,NETWORK_INTERRUPT,TEMPORARY,2,0.8571,667,NONE,0,14,12,2,0.5524,1,3179.95
TXN-10045,CUST-1995,1743.07,INR,NET_BANKING,2026-08-05T23:53:51,FAILED,PROCESSING_DELAY,TEMPORARY,0,0.9,1102,ACTIVE,0,10,9,1,0.98,1,1743.07
TXN-10046,CUST-1397,6642.93,INR,DEBIT_CARD,2026-08-21T08:58:07,FAILED,PROCESSING_DELAY,TEMPORARY,1,0.75,78,INACTIVE,3,12,9,3,0.666,1,6642.93
TXN-10047,CUST-2912,482.4,INR,UPI,2026-08-20T23:05:16,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,1.0,1039,ACTIVE,3,7,7,0,0.98,1,482.4
TXN-10048,CUST-3982,1295.67,INR,UPI,2026-08-10T17:13:07,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.9167,228,ACTIVE,2,12,11,1,0.8398,1,1295.67
TXN-10049,CUST-1779,2313.45,INR,CREDIT_CARD,2026-08-10T07:46:44,FAILED,PROCESSING_DELAY,TEMPORARY,4,0.8889,662,INACTIVE,0,9,8,1,0.3605,1,2313.45
TXN-10050,CUST-2140,9427.92,INR,CREDIT_CARD,2026-08-22T22:17:05,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,1,0.7222,574,ACTIVE,1,18,13,5,0.5557,1,9427.92
TXN-10051,CUST-3254,1970.21,INR,UPI,2026-08-27T15:49:50,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,0.8667,90,NONE,0,15,13,2,0.9502,1,1970.21
TXN-10052,CUST-1060,2189.29,INR,CREDIT_CARD,2026-08-21T03:30:24,FAILED,GATEWAY_TIMEOUT,TEMPORARY,1,0.2857,321,ACTIVE,0,7,2,5,0.6874,0,0.0
TXN-10053,CUST-2989,3624.8,INR,CREDIT_CARD,2026-08-04T06:18:54,FAILED,PROCESSING_DELAY,TEMPORARY,3,0.7778,1161,INACTIVE,8,9,7,2,0.5044,0,0.0
TXN-10054,CUST-1674,714.73,INR,UPI,2026-08-14T06:59:02,FAILED,PROCESSING_DELAY,TEMPORARY,1,0.9,574,INACTIVE,3,10,9,1,0.9441,1,714.73
TXN-10055,CUST-2863,3640.94,INR,NET_BANKING,2026-08-28T09:31:01,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.7273,1007,NONE,0,11,8,3,0.5499,1,3640.94
TXN-10056,CUST-3711,4149.0,INR,CREDIT_CARD,2026-08-15T19:41:22,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,0,0.8,923,ACTIVE,4,15,12,3,0.7515,0,0.0
TXN-10057,CUST-1891,5433.17,INR,NACH_EMANDATE,2026-08-27T17:42:11,FAILED,GATEWAY_TIMEOUT,TEMPORARY,2,0.5455,1183,NONE,0,11,6,5,0.6168,1,5433.17
TXN-10058,CUST-1249,2480.01,INR,UPI,2026-08-29T18:36:58,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,1,0.7,69,ACTIVE,0,10,7,3,0.4899,1,2480.01
TXN-10059,CUST-2952,938.34,INR,UPI,2026-08-05T07:20:11,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.7692,1004,NONE,0,13,10,3,0.4434,0,0.0
TXN-10060,CUST-1761,7008.19,INR,NACH_EMANDATE,2026-08-12T20:01:56,FAILED,INVALID_ACCOUNT,PERMANENT,0,0.8889,814,ACTIVE,1,9,8,1,0.3228,0,0.0
TXN-10061,CUST-2653,1391.29,INR,NACH_EMANDATE,2026-08-29T12:29:22,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.7273,313,ACTIVE,3,11,8,3,0.7274,1,1391.29
TXN-10062,CUST-3435,684.14,INR,NACH_EMANDATE,2026-08-21T18:25:56,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.8,1185,ACTIVE,28,10,8,2,0.5315,1,684.14
TXN-10063,CUST-3692,2461.05,INR,DEBIT_CARD,2026-08-16T16:03:02,FAILED,BANK_SERVER_DOWN,TEMPORARY,1,0.9412,952,ACTIVE,3,17,16,1,0.6703,1,2461.05
TXN-10064,CUST-1977,2249.41,INR,NET_BANKING,2026-08-15T23:31:18,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.8333,925,ACTIVE,19,6,5,1,0.9561,1,2249.41
TXN-10065,CUST-2872,5242.4,INR,UPI,2026-08-23T15:56:28,FAILED,BANK_SERVER_DOWN,TEMPORARY,1,1.0,443,ACTIVE,6,12,12,0,0.98,1,5242.4
TXN-10066,CUST-3544,7423.37,INR,UPI,2026-08-11T18:20:33,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,0.8235,823,NONE,0,17,14,3,0.897,1,7423.37
TXN-10067,CUST-3072,4450.74,INR,CREDIT_CARD,2026-08-04T18:08:51,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.4615,707,INACTIVE,1,13,6,7,0.9662,1,4450.74
TXN-10068,CUST-2000,1583.39,INR,DEBIT_CARD,2026-08-22T16:31:19,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.9286,552,ACTIVE,11,14,13,1,0.98,1,1583.39
TXN-10069,CUST-3225,3072.58,INR,NACH_EMANDATE,2026-08-27T02:15:38,FAILED,ACCOUNT_CLOSED,PERMANENT,0,0.8462,42,NONE,0,13,11,2,0.2835,0,0.0
TXN-10070,CUST-1032,681.06,INR,UPI,2026-08-14T06:07:30,FAILED,ACCOUNT_CLOSED,PERMANENT,0,0.9167,702,ACTIVE,1,12,11,1,0.3209,0,0.0
TXN-10071,CUST-1472,1050.63,INR,NACH_EMANDATE,2026-08-14T15:18:31,FAILED,GATEWAY_TIMEOUT,TEMPORARY,1,1.0,807,ACTIVE,9,7,7,0,0.8616,1,1050.63
TXN-10072,CUST-2154,1281.89,INR,DEBIT_CARD,2026-08-14T05:33:48,FAILED,NETWORK_INTERRUPT,TEMPORARY,1,0.8333,42,ACTIVE,7,12,10,2,0.8024,1,1281.89
TXN-10073,CUST-3070,2040.71,INR,DEBIT_CARD,2026-08-05T21:32:07,FAILED,PROCESSING_DELAY,TEMPORARY,3,0.7857,339,ACTIVE,3,14,11,3,0.5101,1,2040.71
TXN-10074,CUST-3598,2297.01,INR,DEBIT_CARD,2026-08-01T14:07:51,FAILED,EXPIRED_CARD_PERMANENT,PERMANENT,0,0.6429,629,ACTIVE,0,14,9,5,0.1441,0,0.0
TXN-10075,CUST-2366,2046.64,INR,DEBIT_CARD,2026-08-22T20:46:32,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.8889,1176,ACTIVE,0,9,8,1,0.6497,0,0.0
TXN-10076,CUST-3259,1158.57,INR,NACH_EMANDATE,2026-08-06T20:20:33,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,2,0.5556,1132,ACTIVE,30,9,5,4,0.1904,0,0.0
TXN-10077,CUST-1308,3842.81,INR,NACH_EMANDATE,2026-08-19T08:10:04,FAILED,NETWORK_INTERRUPT,TEMPORARY,0,0.7692,697,ACTIVE,6,13,10,3,0.98,1,3842.81
TXN-10078,CUST-3385,4989.28,INR,NET_BANKING,2026-08-03T10:44:02,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.7273,432,ACTIVE,3,11,8,3,0.5511,0,0.0
TXN-10079,CUST-2262,655.91,INR,UPI,2026-08-11T14:45:24,FAILED,UNHANDLED_ERROR_CODE,UNKNOWN,0,0.875,885,INACTIVE,8,16,14,2,0.5537,1,655.91
TXN-10080,CUST-3793,2024.88,INR,UPI,2026-08-28T14:18:41,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.9333,419,INACTIVE,3,15,14,1,0.8306,1,2024.88
TXN-10081,CUST-2664,2368.26,INR,CREDIT_CARD,2026-08-10T00:16:51,FAILED,NETWORK_INTERRUPT,TEMPORARY,2,0.9167,635,ACTIVE,3,12,11,1,0.7036,0,0.0
TXN-10082,CUST-2688,1907.72,INR,CREDIT_CARD,2026-08-17T13:01:26,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,1,0.7692,698,NONE,0,13,10,3,0.6018,0,0.0
TXN-10083,CUST-2686,902.54,INR,DEBIT_CARD,2026-08-06T15:56:25,FAILED,NETWORK_INTERRUPT,TEMPORARY,0,0.7143,781,ACTIVE,0,14,10,4,0.98,1,902.54
TXN-10084,CUST-2566,3600.65,INR,NET_BANKING,2026-08-11T02:31:09,FAILED,GATEWAY_TIMEOUT,TEMPORARY,2,0.8333,589,ACTIVE,1,12,10,2,0.6737,1,3600.65
TXN-10085,CUST-2885,2140.24,INR,DEBIT_CARD,2026-08-12T05:43:29,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.9375,414,ACTIVE,7,16,15,1,0.8714,1,2140.24
TXN-10086,CUST-1096,348.16,INR,NET_BANKING,2026-08-14T22:35:45,FAILED,NETWORK_INTERRUPT,TEMPORARY,2,1.0,704,INACTIVE,8,14,14,0,0.7506,1,348.16
TXN-10087,CUST-1284,4469.19,INR,DEBIT_CARD,2026-08-26T03:30:02,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.7273,738,NONE,0,11,8,3,0.98,1,4469.19
TXN-10088,CUST-2637,7731.89,INR,UPI,2026-08-14T02:20:15,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.8182,21,ACTIVE,10,11,9,2,0.98,1,7731.89
TXN-10089,CUST-1731,2267.13,INR,UPI,2026-08-30T09:03:21,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.8462,1084,ACTIVE,0,13,11,2,0.7797,1,2267.13
TXN-10090,CUST-2779,1890.19,INR,DEBIT_CARD,2026-08-30T20:17:04,FAILED,BANK_SERVER_DOWN,TEMPORARY,1,0.9231,117,INACTIVE,2,13,12,1,0.7027,0,0.0
TXN-10091,CUST-3094,3398.33,INR,NET_BANKING,2026-08-10T15:27:28,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,1,0.7059,102,NONE,0,17,12,5,0.4806,1,3398.33
TXN-10092,CUST-2043,1260.68,INR,NET_BANKING,2026-08-26T15:45:03,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,3,0.8333,2,ACTIVE,18,12,10,2,0.176,0,0.0
TXN-10093,CUST-3205,3152.85,INR,DEBIT_CARD,2026-08-04T19:31:31,FAILED,BLOCKED_CARD,PERMANENT,0,0.8571,428,INACTIVE,8,7,6,1,0.2411,1,3152.85
TXN-10094,CUST-3720,5829.13,INR,NACH_EMANDATE,2026-08-07T11:11:56,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,2,0.5833,410,INACTIVE,5,12,7,5,0.2282,0,0.0
TXN-10095,CUST-3948,2590.1,INR,NACH_EMANDATE,2026-08-21T05:48:44,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.8571,685,INACTIVE,18,14,12,2,0.7169,1,2590.1
TXN-10096,CUST-2336,386.34,INR,DEBIT_CARD,2026-08-07T14:18:03,FAILED,PROCESSING_DELAY,TEMPORARY,0,0.7143,862,NONE,0,21,15,6,0.9749,1,386.34
TXN-10097,CUST-1785,2158.32,INR,NET_BANKING,2026-08-09T20:45:23,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,1,0.8182,1141,NONE,0,11,9,2,0.4444,1,2158.32
TXN-10098,CUST-3521,1766.52,INR,NET_BANKING,2026-08-01T10:28:22,FAILED,ACCOUNT_CLOSED,PERMANENT,0,0.625,794,NONE,0,8,5,3,0.0642,0,0.0
TXN-10099,CUST-2244,5314.02,INR,CREDIT_CARD,2026-08-29T13:43:52,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.8462,1108,INACTIVE,1,13,11,2,0.9664,0,0.0
TXN-10100,CUST-3484,1710.88,INR,NET_BANKING,2026-08-22T21:09:12,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.9,270,INACTIVE,14,10,9,1,0.8784,1,1710.88
TXN-10101,CUST-3767,1311.79,INR,NACH_EMANDATE,2026-08-09T15:42:17,FAILED,NETWORK_INTERRUPT,TEMPORARY,1,0.7857,687,INACTIVE,1,14,11,3,0.7296,1,1311.79
TXN-10102,CUST-3698,2092.79,INR,DEBIT_CARD,2026-08-17T16:31:21,FAILED,INVALID_ACCOUNT,PERMANENT,0,0.7778,119,NONE,0,9,7,2,0.0618,0,0.0
TXN-10103,CUST-1382,1833.32,INR,DEBIT_CARD,2026-08-11T02:00:11,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.7692,217,ACTIVE,5,13,10,3,0.6776,0,0.0
TXN-10104,CUST-1603,445.52,INR,UPI,2026-08-24T11:34:26,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.8095,517,ACTIVE,9,21,17,4,0.7907,0,0.0
TXN-10105,CUST-3503,6472.34,INR,NET_BANKING,2026-08-29T08:42:18,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,3,0.7857,1077,INACTIVE,10,14,11,3,0.0568,0,0.0
TXN-10106,CUST-1796,3689.13,INR,NET_BANKING,2026-08-13T06:15:44,FAILED,PROCESSING_DELAY,TEMPORARY,0,0.9412,971,INACTIVE,7,17,16,1,0.98,1,3689.13
TXN-10107,CUST-1604,2164.84,INR,UPI,2026-08-12T00:58:06,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,0.5385,1100,INACTIVE,2,13,7,6,0.98,1,2164.84
TXN-10108,CUST-1720,2410.14,INR,UPI,2026-08-13T12:20:13,FAILED,PROCESSING_DELAY,TEMPORARY,1,0.6667,962,NONE,0,12,8,4,0.6775,1,2410.14
TXN-10109,CUST-1497,2368.78,INR,CREDIT_CARD,2026-08-27T04:48:48,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,1,0.5,944,INACTIVE,11,12,6,6,0.4769,1,2368.78
TXN-10110,CUST-3289,7932.92,INR,NET_BANKING,2026-08-25T22:06:33,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.8947,324,NONE,0,19,17,2,0.7961,1,7932.92
TXN-10111,CUST-2747,1131.4,INR,CREDIT_CARD,2026-08-24T11:02:08,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,1,0.9091,589,NONE,0,11,10,1,0.6368,0,0.0
TXN-10112,CUST-2843,481.58,INR,CREDIT_CARD,2026-08-14T21:05:28,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.6364,36,NONE,0,11,7,4,0.8946,1,481.58
TXN-10113,CUST-3135,2799.43,INR,CREDIT_CARD,2026-08-22T18:29:19,FAILED,PROCESSING_DELAY,TEMPORARY,0,0.8824,682,INACTIVE,2,17,15,2,0.98,1,2799.43
TXN-10114,CUST-1317,450.03,INR,CREDIT_CARD,2026-08-17T17:17:26,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.625,242,INACTIVE,1,8,5,3,0.6315,0,0.0
TXN-10115,CUST-2309,941.26,INR,CREDIT_CARD,2026-08-12T15:26:20,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.6429,921,ACTIVE,0,14,9,5,0.8612,1,941.26
TXN-10116,CUST-2568,3420.46,INR,CREDIT_CARD,2026-08-21T13:21:22,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.4444,1006,ACTIVE,4,9,4,5,0.8124,1,3420.46
TXN-10117,CUST-2669,380.24,INR,NACH_EMANDATE,2026-08-21T14:24:43,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,0,0.75,67,INACTIVE,3,12,9,3,0.8307,1,380.24
TXN-10118,CUST-1255,2264.54,INR,NET_BANKING,2026-08-29T18:30:06,FAILED,GENERIC_DECLINE,UNKNOWN,0,0.9333,287,INACTIVE,1,15,14,1,0.4784,1,2264.54
TXN-10119,CUST-3848,518.1,INR,NACH_EMANDATE,2026-08-24T13:43:18,FAILED,GENERIC_DECLINE,UNKNOWN,0,0.7778,364,INACTIVE,4,9,7,2,0.3784,0,0.0
TXN-10120,CUST-1024,632.81,INR,DEBIT_CARD,2026-08-21T18:11:42,FAILED,BANK_SERVER_DOWN,TEMPORARY,0,0.8,114,INACTIVE,1,10,8,2,0.9759,1,632.81
TXN-10121,CUST-3204,2289.09,INR,NET_BANKING,2026-08-14T15:59:33,FAILED,NETWORK_INTERRUPT,TEMPORARY,0,0.7273,561,ACTIVE,0,11,8,3,0.98,1,2289.09
TXN-10122,CUST-2785,675.46,INR,UPI,2026-08-17T17:37:09,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,0,0.9375,266,INACTIVE,3,16,15,1,0.696,1,675.46
TXN-10123,CUST-3739,375.52,INR,CREDIT_CARD,2026-08-07T14:41:49,FAILED,PROCESSING_DELAY,TEMPORARY,0,0.9091,1197,INACTIVE,1,11,10,1,0.98,1,375.52
TXN-10124,CUST-3548,2824.99,INR,NET_BANKING,2026-08-28T19:33:51,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,0.6667,778,NONE,0,9,6,3,0.8433,1,2824.99
TXN-10125,CUST-3715,3140.04,INR,UPI,2026-08-22T05:22:12,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,1,0.7778,785,NONE,0,9,7,2,0.5874,0,0.0
TXN-10126,CUST-1555,1496.14,INR,CREDIT_CARD,2026-08-14T01:06:14,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,0,0.8182,155,ACTIVE,3,11,9,2,0.7818,1,1496.14
